,transforms
85,"[array([[ 0.8398948 , -0.52598451, -0.02238985,  0.0473035 ],
       [ 0.54265368,  0.85011783,  0.0158935 ,  0.2831045 ],
       [ 0.01018429, -0.0252976 ,  0.99962297,  0.11251   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
86,"[array([[ 0.84477136, -0.51549414, -0.02252696,  0.045765  ],
       [ 0.53500676,  0.85655966,  0.01433852,  0.2456715 ],
       [ 0.01136298, -0.02390284,  0.99964341,  0.112484  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
87,"[array([[ 0.84081895, -0.52119848, -0.02305515,  0.044646  ],
       [ 0.54120307,  0.85306555,  0.0153563 ,  0.2422455 ],
       [ 0.01107858, -0.02512588,  0.99961625,  0.1124725 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
88,"[array([[ 0.84083714, -0.5217858 , -0.02304393,  0.044599  ],
       [ 0.54116789,  0.85272207,  0.0147252 ,  0.2422795 ],
       [ 0.01141166, -0.02458969,  0.999626  ,  0.112479  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
89,"[array([[ 0.83810262, -0.52966863, -0.02253736,  0.028172  ],
       [ 0.54539854,  0.84786577,  0.01418712,  0.238856  ],
       [ 0.01115494, -0.0239746 ,  0.99964533,  0.1123655 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
90,"[array([[ 0.82513442, -0.54790639, -0.02379579, -0.01997   ],
       [ 0.56482367,  0.8361536 ,  0.01478646,  0.23227   ],
       [ 0.01128741, -0.0254116 ,  0.99960748,  0.111985  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
91,"[array([[ 0.81191765, -0.5671756 , -0.02383206, -0.0885205 ],
       [ 0.5836725 ,  0.82319818,  0.01469512,  0.226282  ],
       [ 0.01077676, -0.025624  ,  0.99960797,  0.1114815 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
92,"[array([[ 0.7776354 , -0.61615127, -0.02060912, -0.166578  ],
       [ 0.62870464,  0.7871247 ,  0.01961383,  0.2253155 ],
       [ 0.00369657, -0.02814825,  0.9995952 ,  0.1110135 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
93,"[array([[ 0.75988432, -0.6383532 , -0.02300534, -0.2230425 ],
       [ 0.64993148,  0.76947876,  0.00714571,  0.2242115 ],
       [ 0.01284091, -0.02018986,  0.9997098 ,  0.1104675 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
94,"[array([[ 0.76043438, -0.63820241, -0.01832165, -0.2252265 ],
       [ 0.64940767,  0.76947517,  0.01677667,  0.2240505 ],
       [ 0.00303845, -0.02460975,  0.99969138,  0.110612  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
95,"[array([[ 0.75603311, -0.6431192 , -0.02081104, -0.2225655 ],
       [ 0.65441487,  0.76557228,  0.00501495,  0.224421  ],
       [ 0.01245483, -0.01722724,  0.99977085,  0.1105215 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
96,"[array([[ 0.76389041, -0.63307008, -0.01961838, -0.197727  ],
       [ 0.64533587,  0.77365556,  0.01762467,  0.230174  ],
       [ 0.00361372, -0.0260643 ,  0.99965218,  0.110786  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
97,"[array([[ 0.77527906, -0.61833914, -0.02307104, -0.151587  ],
       [ 0.63151244,  0.78560044,  0.00997089,  0.2331325 ],
       [ 0.01159342, -0.02210584,  0.9996841 ,  0.110998  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
98,"[array([[ 0.78413029, -0.60642946, -0.02323228, -0.1238885 ],
       [ 0.62049393,  0.79480451,  0.011205  ,  0.2314445 ],
       [ 0.01126825, -0.02300217,  0.9996673 ,  0.1111875 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
